"filename", "language", "XML", "Batch", "Java Properties", "Java", "YAML", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aIndexDashboard.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aMenu.html", "HTML", 0, 0, 0, 0, 0, 57, 0, 0, 0, 16, 73
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aPedidos.html", "HTML", 0, 0, 0, 0, 0, 200, 0, 0, 3, 35, 238
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProducto_editar.html", "HTML", 0, 0, 0, 0, 0, 166, 0, 0, 2, 22, 190
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProductos.html", "HTML", 0, 0, 0, 0, 0, 158, 0, 0, 2, 23, 183
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProductos_registrar.html", "HTML", 0, 0, 0, 0, 0, 125, 0, 0, 2, 18, 145
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProveedor_editar.html", "HTML", 0, 0, 0, 0, 0, 150, 0, 0, 2, 22, 174
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProveedor_registrar.html", "HTML", 0, 0, 0, 0, 0, 121, 0, 0, 2, 20, 143
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aProveedores.html", "HTML", 0, 0, 0, 0, 0, 203, 0, 0, 3, 20, 226
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aUsuarios.html", "HTML", 0, 0, 0, 0, 0, 172, 0, 0, 2, 25, 199
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\aVentas.html", "HTML", 0, 0, 0, 0, 0, 183, 0, 0, 3, 29, 215
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\error.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uBody.html", "HTML", 0, 0, 0, 0, 0, 217, 0, 0, 4, 22, 243
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uBodyCliente.html", "HTML", 0, 0, 0, 0, 0, 114, 0, 0, 15, 20, 149
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uCarritoCliente.html", "HTML", 0, 0, 0, 0, 0, 165, 0, 0, 3, 44, 212
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uDetalleProducto.html", "HTML", 0, 0, 0, 0, 0, 159, 0, 0, 3, 38, 200
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uFooter.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 3, 5, 45
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uHeader.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uHeaderUsuario.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 4, 1, 25
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uIndex.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 0, 2, 18, 61
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uLoginUsuario.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 2, 15, 59
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uNavegador.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 19
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\uNosotros.html", "HTML", 0, 0, 0, 0, 0, 59, 0, 0, 2, 16, 77
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vBienvenida.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 0, 2, 25, 88
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vClientes.html", "HTML", 0, 0, 0, 0, 0, 133, 0, 0, 2, 23, 158
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vIndexVendedor.html", "HTML", 0, 0, 0, 0, 0, 22, 0, 0, 0, 10, 32
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vMenuVendedor.html", "HTML", 0, 0, 0, 0, 0, 57, 0, 0, 0, 9, 66
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vPedidos.html", "HTML", 0, 0, 0, 0, 0, 113, 0, 0, 2, 30, 145
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vProductos.html", "HTML", 0, 0, 0, 0, 0, 113, 0, 0, 2, 30, 145
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vPuntoVenta.html", "HTML", 0, 0, 0, 0, 0, 158, 0, 0, 2, 47, 207
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\main\resources\templates\vVentas.html", "HTML", 0, 0, 0, 0, 0, 113, 0, 0, 2, 30, 145
"c:\Users\USER\Desktop\Alvaro\universidad\2024-1\calidad\proyecto_Spring\Almacen\src\test\java\com\example\Almacen\AlmacenApplicationTests.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 69, 118, 17, 1859, 41, 3671, 31, 1600, 311, 1445, 9162
